Уровень;Подразделение;Приоритет;Что обнаружено;Факт;Что делать;Кто отвечает;Как проверить результат
Система;Все ТБ;1;Клиент отрабатывается не целиком;полностью отработаны только 49.6% клиентов: по остальным часть задач закрыта, часть висит. Клиент видит разрозненные касания вместо одного разговора.;Перейти к клиентскому принципу: задачи по одному клиенту объединять в карточку и закрывать вместе, назначая одного ответственного. В рейтинг ГОСБ включить долю полностью отработанных клиентов.;Руководитель ГОСБ, методолог канала;Доля клиентов со всеми закрытыми задачами — цель от 80 %.
Система;Все ТБ;1;Успех без результата: согласие на минимальном потенциале;35.7% успешно закрытых задач дали не больше одного получателя или меньше 10% планового объёма. Конверсия растёт, портфель — нет.;Перевести оценку конверсии с числа задач на объём: засчитывать успех только при факте не ниже 30 % плана получателей, остальное закрывать статусом «частичный результат». Пересмотреть карту мотивации МЗП в части веса конверсии.;Методолог мотивации, руководитель канала;Отношение факта к плану получателей (fill rate) — цель от 60 %.
Система;Все ТБ;1;Закрытия без единого цифрового следа;34.4% закрытых задач не имеют ни одной зафиксированной активности — ни звонка, ни встречи. Проверить, была ли работа с клиентом, невозможно.;Сделать активность обязательным реквизитом закрытия: нет звонка или встречи — задача не закрывается. Для задач, закрытых по данным из внешних источников, ввести отдельный статус.;Владелец АС, методолог канала;Доля закрытий без следа — цель ниже 10 %.
Система;Все ТБ;1;Дни без цифровых следов;в среднем 30.3% рабочих дней месяца сотрудник не оставляет в системе ни одного следа: ни активности, ни закрытия, ни сделки.;Ввести ежедневный минимум фиксации (хотя бы одна активность в день) и еженедельный отчёт руководителю по сотрудникам с тремя и более немыми днями подряд.;Руководитель ГОСБ;Доля немых дней — цель ниже 15 %.
Система;Все ТБ;1;Массовое закрытие задач одним днём;19.9% закрытий приходится на дни зачистки — дни, когда сотрудник закрывает не меньше 10 задач и это не меньше 30% всех его закрытий за месяц.;Ввести в регламент запрет закрывать задачу без зафиксированной активности и дневной лимит закрытий без следа (например, 5). Закрытия сверх лимита — на подтверждение руководителя ГОСБ.;Руководитель ГОСБ, методолог канала;Доля закрытий в днях зачистки — цель ниже 10 % за квартал.
Система;Все ТБ;1;Закрытия сериями с интервалом в минуты;14.4% закрытий входят в серии от 5 задач подряд с интервалом не больше 5 минут: прочитать задачу, связаться с клиентом и записать результат за это время нельзя.;Настроить в АС контроль скорости: при закрытии более трёх задач за пять минут — обязательное поле «результат контакта» и отметка канала связи. Серии выгружать руководителю еженедельно.;Владелец АС, руководитель ГОСБ;Доля задач в сериях — цель ниже 2 %.
Система;Все ТБ;2;Факт получателей сильно ниже плана;по закрытым задачам получено 50.0% планового объёма получателей.;Разбирать расхождение план-факт на уровне сделки: если план изначально нереалистичен — исправлять модель расчёта потенциала, если теряется при внедрении — усиливать сопровождение запуска.;Методолог канала, ГОСБ;Отношение факта к плану получателей.
Система;Все ТБ;2;Клонированные комментарии;29.9% закрытых задач содержат комментарий, который повторяется у того же сотрудника 3 раз и более.;Включить проверку на повтор текста при сохранении: одинаковый комментарий на разных клиентах — предупреждение сотруднику и пометка задачи для руководителя.;Владелец АС;Доля клонов — цель ниже 5 %.
Система;Все ТБ;3;Анкеты по задачам почти не заполняются;анкета заполнена лишь у 27.1% закрытых задач — причины отказов и параметры сделок в витрину не попадают, и кампании настраиваются вслепую.;"Сократить анкету до 3-4 обязательных вопросов и сделать её обязательной для задач с отказом; по остальным — опциональной.";Методолог канала;Заполненность анкеты по отказным задачам — цель от 80 %.
ТБ;Московский банк;2;Комментарии копируются;клонированных комментариев 54.8% против 30.4% по системе. Под триггерами 5 сотр., начать с: Ильин Максим Борисович, Белова Полина Ивановна, Чернова Ольга Борисовна.;Выборочно проверить 20 задач с повторяющимся текстом на реальность контакта.;Руководитель ТБ по каналу УЗП;clone_share: цель — не выше медианы по системе (30.4%).
